ID,SoundLabel,BGM1,BGM2,BGM3,BGM4,BGM5,InSoundTest,byte2,byte3,byte4,InRegionJPN,InRegionEUUS,SoundSource,SoundMixType,IconID,SoundTestBackImageBehavior,AssociatedFighters,SoundTestOrder,StageCreationOrder,StageCreationGroup,short17
26,SOUNDQ,N13_TBD_KotobukiLand_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,doubutsu,CharacterRandom,Murabito,303,334,doubutsu,0
27,SOUNDR,N14_TBD_KappeiNoUta,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,doubutsu,CharacterRandom,Murabito,302,333,doubutsu,0
28,SOUNDS,J14_KSI_I_I,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,fireemblem,CharacterRandom,Marth | Ike | Lucina | Reflet | Roy | Kamui,261,294,fireemblem,0
29,SOUNDT,W17_FEM_FireEmblem,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,fireemblem,CharacterRandom,Marth | Ike | Lucina | Reflet | Roy | Kamui,242,275,fireemblem,0
30,SOUNDU,P05_SHS_SyokikaBakudanNoKyoufu,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,palutena,CharacterRandom,Pit | Pitb | Palutena,276,307,palutena,0
31,SOUNDV,P09_SHS_BlackPitNoTheme,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,palutena,CharacterRandom,Pit | Pitb | Palutena,273,304,palutena,0
32,SOUNDW,I12_FZR_SFC_MuteCity,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,fzero,CharacterRandom,Captain,146,253,fzero,0
33,SOUNDX,I11_FZR_MuteCity,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,fzero,CharacterRandom,Captain,145,252,fzero,0
34,SOUNDY,K11_MTR_Magicant_EightMelodies,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mother,CharacterRandom,Ness | Lucas,234,267,mother,0
35,SOUNDZ,K12_MTR2_SmileAndTears,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mother,CharacterRandom,Ness | Lucas,237,270,mother,0
36,SOUND10,A29_PPM_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,71,84,mario,0
37,SOUND11,A28_MALRPG4_TryAndTry,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,70,83,mario,0
38,SOUND12,R22_TDCS_TomodachiCollection,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,UpdateSound,RemixRed,tomodachi,RosterRandom,,439,419,etc,48
39,SOUND13,R20_NGC_NigaoeHiroba,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,UpdateSound,RemixRed,,RosterRandom,,418,398,etc,49
40,SOUND14,R18_NTD_Shower,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,nintendogs,RosterRandom,,411,391,etc,0
41,SOUND15,R19_NTD_Shower_ver2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,nintendogs,RosterRandom,,412,392,etc,0
42,SOUND16,Q15_BFT_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,balloonfight,RosterRandom,,393,372,etc,0
43,SOUND17,Q16_BFT_BalloonTrip,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,balloonfight,RosterRandom,,394,373,etc,0
44,SOUND18,R27_SCD2_YamiNoOu,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,UpdateSound,RemixRed,miiplaza,RosterRandom,,432,412,etc,50
45,SOUND19,R26_SCD2_SekaiWoSukueYuushayo,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,UpdateSound,RemixRed,miiplaza,RosterRandom,,431,411,etc,51
46,SOUND1A,R02_PictoChat,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,touch,RosterRandom,,410,390,etc,0
47,SOUND1B,W20_DRM_DrMario,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,mario,CharacterFirst,Drmario | Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,63,76,mario,0
48,SOUND1C,V01_PAC_PacMan,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pacman,CharacterRandom,Pacman,362,455,pacman,0
49,SOUND1D,V02_PAC_PacMan_ClubMix,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pacman,CharacterRandom,Pacman,363,456,pacman,0
50,SOUND1E,S01_RM2_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,rockman,CharacterRandom,Rockman,354,447,rockman,0
51,SOUND1F,S04_RM2_OriginalMedley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,rockman,CharacterRandom,Rockman,357,450,rockman,0
52,SOUND1G,R23_XBD_GaurHeigen,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,CharacterRandom,Shulk,319,350,xenoblade,0
53,SOUND1H,R24_XBD_NawoKansuruMonotachi,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,CharacterRandom,Shulk,324,355,xenoblade,0
54,SOUND1I,Q18_PO_Running_CountDown,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,punchout,CharacterRandom,Littlemac,312,343,punchout,0
55,SOUND1J,R21_WPO_MinorCircuit,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,punchout,CharacterRandom,Littlemac,314,345,punchout,0
56,SOUND1K,A01_SMB_Chijyou,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,6,39,mario,0
57,SOUND1L,Cus007_Primordia,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,RosterRandom,Shulk,999,999,xenoblade,0
58,SOUND1M,T06_SPR_KongoJungle,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,donkeykong,CharacterRandom,Donkey | Diddy,76,109,donkeykong,0
59,SOUND1N,B11_RTN_ThrillGearFlight,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,donkeykong,CharacterRandom,Donkey | Diddy,85,118,donkeykong,0
60,SOUND1O,W27_MR_Brinstar,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,metroid,CharacterRandom,Samus | Szerosuit,128,161,metroid,0
61,SOUND1P,W04_MR_BrinstarShinbu,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,metroid,CharacterRandom,Samus | Szerosuit,129,162,metroid,0
62,SOUND1Q,Cus008_Uncontrollable,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,RosterRandom,Shulk,999,999,xenoblade,0
63,SOUND1R,Cus009_NeosCity,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,pokemon,RosterRandom,Lucario,999,999,pokemon,0
64,SOUND1S,E01_STR_Ending,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,yoshi,CharacterRandom,Yoshi,162,180,yoshi,0
65,SOUND1T,W08_SFX_Cornelia,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,starfox,CharacterRandom,Fox | Falco,198,216,starfox,0
66,SOUND1U,G12_SFX64_StarWolf_SectorZ,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,starfox,CharacterRandom,Fox | Falco,204,222,starfox,0
67,SOUND1V,L06_PIK_MainTheme,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,pikmin,CharacterRandom,Pikmin,287,318,pikmin,0
68,SOUND1W,L09_PIK2_StageSelect,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pikmin,CharacterRandom,Pikmin,292,323,pikmin,0
69,SOUND1X,W14_GW_FlatZone,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,gamewatch,UnlockableCharacterFirst,Gamewatch,265,366,etc,0
70,SOUND1Y,R04_GW_FlatZone2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,gamewatch,UnlockableCharacterFirst,Gamewatch,266,367,etc,0
71,SOUND1Z,M01_MIW_MadeInWario,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,wario,UnlockableCharacterFirst,Wario,280,311,wario,0
72,SOUND20,M07_SMW_AshreyNoTheme,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,wario,UnlockableCharacterFirst,Wario,282,313,wario,0
73,SOUND21,U01_SNC_GreenHillZone,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,sonic,CharacterRandom,Sonic,338,431,sonic,0
74,SOUND22,U09_SADV2_LiveAndLearn,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,sonic,CharacterRandom,Sonic,342,435,sonic,0
75,SOUND23,CRS01_Menu,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,0,21,smashbros,0
76,SOUND24,W33_SBDX_Menu2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,,451,9,smashbros,0
77,SOUND25,CRS07_Online,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,485,899,,0
78,SOUND26,CRS24_VS_Result,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,smashbros,RosterRandom,,444,2,smashbros,0
79,SOUND27,Cus010_FerrumStadium,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,pokemon,RosterRandom,Lucario,999,999,pokemon,0
80,SOUND28,CRS11_Simple_Result,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,475,899,,0
81,SOUND29,CRS12_Simple_Result_Final,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,476,899,,0
82,SOUND2A,CRS13_Simple_Result_Failure,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,477,899,,0
83,SOUND2B,CRS15_Rest,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,486,899,,0
84,SOUND2C,CRS16_SmashBomber,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,487,899,,0
85,SOUND2D,CRS18_FigureMeikan,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,488,899,,0
86,SOUND2E,CRS19_FigureShop,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,489,899,,0
87,SOUND2F,CRS20_FigureRush,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,490,33,smashbros,0
88,SOUND2G,CRS21_Album,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,491,899,,0
89,SOUND2H,Cus011_Splattack,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,Miigunner,999,999,etc,0
90,SOUND2I,CRS25a_StaffRoll_Loop,CRS25_StaffRoll,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,495,35,smashbros,0
91,SOUND2J,CRS23_Asobikata,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,,447,5,smashbros,0
92,SOUND2K,X16_SBX_HomerunContest,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,,467,899,,0
93,SOUND2L,CRS04_Kumite,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,468,22,smashbros,0
94,SOUND2M,X17_SBX_NasakeMuyouKumite,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,,463,18,smashbros,0
95,SOUND2N,C24_SWS_MegamiNoUta_Ghirahim,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,115,148,zelda,0
96,SOUND2O,C21_TRI_UraNoChijyou_UraDungeon,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,99,132,zelda,0
97,SOUND2P,G13_SFX64_CMD_Area6_Missle,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,starfox,CharacterRandom,Fox | Falco,201,219,starfox,0
98,SOUND2Q,P06_SHS_SeizokuSen,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,palutena,CharacterRandom,Pit | Pitb | Palutena,274,305,palutena,0
99,SOUND2R,Q17_NMJ_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,,RosterRandom,,399,379,etc,0
100,SOUND2S,S03_RM3_SparkMan_Stage,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,rockman,CharacterRandom,Rockman,358,451,rockman,0
101,SOUND2T,S02_RM2_AirMan_Stage,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,rockman,CharacterRandom,Rockman,355,448,rockman,0
102,SOUND2U,T07_SB_StaffRoll,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,smashbros,RosterRandom,,446,4,smashbros,0
103,SOUND2V,V03_MNA_PacMansPark_BlockTown,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pacman,CharacterRandom,Pacman,364,457,pacman,0
104,SOUND2W,X18_SBX_BossBattle,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,smashbros,RosterRandom,,455,13,smashbros,0
105,SOUND2X,W02_SM64_RainbowCruise,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,19,52,mario,0
106,SOUND2Y,B06_SPR2_TogetogeTaruMeiro,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,donkeykong,CharacterRandom,Donkey | Diddy,82,115,donkeykong,0
107,SOUND2Z,P07_SHS_BossSen1,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,palutena,CharacterRandom,Pit | Pitb | Palutena,271,302,palutena,0
108,SOUND30,R25_XBD_KiNoRitsudou,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,CharacterRandom,Shulk,323,354,xenoblade,0
109,SOUND31,F01_AIR_AirRideMachine,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,kirby,CharacterRandom,Kirby | Metaknight | Dedede,187,205,kirby,0
110,SOUND32,J04_GDN_MiraNoKagoToTomoni,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,fireemblem,CharacterRandom,Marth | Ike | Lucina | Reflet | Roy | Kamui,246,279,fireemblem,0
111,SOUND33,W24_LNK_Shinden,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,96,129,zelda,0
112,SOUND34,Q10_TRS_TypeA,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,,RosterRandom,,402,382,etc,0
113,SOUND35,Cus012_BeforeBodyDry,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,Sonic,999,999,etc,0
114,SOUND36,Cus013_QueSeraSera,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,Pikmin,999,999,etc,0
115,SOUND37,M08_SMW_AshreysSong,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,wario,UnlockableCharacterFirst,Wario,283,314,wario,0
116,SOUND38,A32_SMB_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,4,37,mario,0
117,SOUND39,A33_SMB2_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,9,42,mario,0
118,SOUND3A,A34_NEW2_TouBoss,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,16,49,mario,0
119,SOUND3B,A35_WLD_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,14,47,mario,0
120,SOUND3C,A40_DRM_Chill_ver2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterFirst,Drmario | Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,65,78,mario,0
121,SOUND3D,A41_MPT_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,UpdateSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,66,79,mario,52
122,SOUND3E,A42_LM_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,60,73,mario,0
123,SOUND3F,A38_GLX_EggPlanet,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,25,58,mario,0
124,SOUND3G,A39_GLX_TenmondaiNoRosetta,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,24,57,mario,0
125,SOUND3H,A36_MKT7_Circuit,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,53,99,mariocart,0
126,SOUND3I,A37_MKT8_SkyGarden,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,56,102,mariocart,0
127,SOUND3J,B12_SPR_JungleLevel,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,donkeykong,CharacterRandom,Donkey | Diddy,78,111,donkeykong,0
128,SOUND3K,B19_SPR_JungleLevel_Ethnic,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,donkeykong,CharacterRandom,Donkey | Diddy,79,112,donkeykong,0
129,SOUND3L,B13_RTN_DonkeyKongReturnes_CV,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,donkeykong,CharacterRandom,Donkey | Diddy,86,119,donkeykong,0
130,SOUND3M,C25_TNO_SariaNoUta,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,102,135,zelda,0
