BGMID,Title,unk1,unk2,unk3,unk4,MenuCheckPoint1,MenuCheckPoint2,MenuCheckPoint3,MenuCheckPoint4,LoopStartTime,LoopEndTime,LoopStartSample,LoopEndSample,StreamTotalDuration,StreamTotalSamples
123,Cus115_FloatIsland,1,-1,400,-1,-1,-1,-1,-1,9258,34968,444416,1678508,34968,1678510
124,K13_MTR2_OnettNoTheme,1,12988,400,-1,-1,-1,-1,-1,8858,122346,425152,5872495,122356,5872972
125,Cus116_Noctilum,1,-1,400,-1,-1,-1,-1,-1,24380,165413,1075200,7294728,165413,7294731
126,Cus117_WirFliegen,1,-1,400,-1,-1,-1,-1,-1,88704,234393,4257792,11250910,234394,11250912
127,Cus118_GanglionAttacks,1,-1,400,-1,-1,-1,-1,-1,15278,158895,673792,7007289,158895,7007291
128,Cus119_PokemonXDMultiBattleTheme,1,-1,400,-1,-1,-1,-1,-1,31884,81131,1017856,2589955,81131,2589957
129,Cus120_MirorB,1,-1,400,-1,-1,-1,-1,-1,9000,57814,286720,1841795,57814,1841797
130,Cus121_MtBattle,1,-1,400,-1,-1,-1,-1,-1,8960,36369,286720,1163808,36369,1163811
131,Cus122_SmoothCriminal,1,-1,400,-1,-1,-1,-1,-1,0,71999,0,2303997,72000,2304000
132,Cus123_BillieJean,1,-1,400,-1,-1,-1,-1,-1,12544,92543,401408,2961405,92544,2961408
133,Cus124_BrobotLTypeBattle,1,-1,400,-1,-1,-1,-1,-1,9102,65102,200704,1435504,65102,1435505
134,Cus125_BlackoutCity,1,-1,400,-1,-1,-1,-1,-1,5526,82330,243712,3630788,82330,3630791
135,Cus126_Cheetahmen,1,-1,400,-1,-1,-1,-1,-1,0,0,0,0,0,0
136,Cus127_DonkeyKong3,1,-1,400,-1,-1,-1,-1,-1,4876,31770,215040,1401086,31770,1401088
137,Cus128_RoadTaken,1,-1,400,-1,-1,-1,-1,-1,10512,164618,301056,4714167,164618,4714170
138,Cus129_HeroKing,1,-1,400,-1,-1,-1,-1,-1,3504,55678,100352,1594453,55678,1594455
139,Cus132_SFVIRyu,1,-1,400,-1,-1,-1,-1,-1,13978,97814,616448,4313637,97814,4313638
140,Cus133_SFVITemple,1,-1,400,-1,-1,-1,-1,-1,13653,92558,602112,4081826,92558,4081827
141,N17_TBD_Tour,0,124750,400,-1,-1,-1,-1,-1,10729,127597,515004,6124551,127607,6125028
142,Cus134_SFVRyu,1,-1,400,-1,-1,-1,-1,-1,12842,123203,616448,5913784,123203,5913787
143,Cus135_SMGAboveWater,1,-1,400,-1,-1,-1,-1,-1,27328,108454,874496,3470557,108455,3470560
144,Cus136_SMGPurpleComet,1,-1,400,-1,-1,-1,-1,-1,3584,94391,114688,3020536,94391,3020538
145,Cus137_EtrianBattlefield,1,-1,400,-1,-1,-1,-1,-1,5526,96166,243712,4240931,96166,4240933
146,Cus138_JetpackJoyride,1,-1,400,-1,-1,-1,-1,-1,0,130959,0,5775317,130959,5775319
147,Cus139_RockABye,1,-1,400,-1,-1,-1,-1,-1,3882,177890,186368,8538728,177890,8538731
148,Cus140_3DSWebSettings,1,-1,400,-1,-1,-1,-1,-1,12353,71429,544768,3150024,71429,3150026
149,Cus141_3DSeShop,1,-1,400,-1,-1,-1,-1,-1,12678,90675,559104,3998774,90675,3998776
150,Cus142_FamicomMemories,1,-1,400,-1,-1,-1,-1,-1,2688,175515,86016,5616506,175515,5616507
151,Cus143_Zip,1,-1,400,-1,-1,-1,-1,-1,14784,56810,473088,1817950,56811,1817952
152,Cus144_PalaceOfSolomon,1,-1,400,-1,-1,-1,-1,-1,2925,173573,129024,7654612,173574,7654615
153,Cus145_NiNoKuniBoss,1,-1,400,-1,-1,-1,-1,-1,90046,170040,3971072,7498786,170040,7498788
154,Cus146_ThatFirstTown,1,-1,400,-1,-1,-1,-1,-1,650,67431,28672,2973735,67431,2973737
155,Cus147_MK8BigBlue,1,-1,400,-1,-1,-1,-1,-1,22848,89759,731136,2872306,89759,2872308
156,Cus148_MK8MuteCity,1,-1,400,-1,-1,-1,-1,-1,13440,98639,430080,3156478,98640,3156480
157,Cus149_MK8TitleScreen,1,-1,400,-1,-1,-1,-1,-1,9856,90426,315392,2893638,90426,2893640
158,Cus150_MK8Mansion,1,-1,400,-1,-1,-1,-1,-1,5824,59157,186368,1893032,59157,1893034
159,Cus151_MK8Woods,1,-1,400,-1,-1,-1,-1,-1,11200,68199,358400,2182387,68199,2182389
160,Cus152_ForestOfHope,1,-1,400,-1,-1,-1,-1,-1,2275,327988,100352,14464279,327988,14464281
161,Cus153_ProjectMMenu,1,-1,400,-1,-1,-1,-1,-1,975,88295,43008,3893831,88295,3893833
162,Cus154_ProjectMRemix,1,-1,400,-1,-1,-1,-1,-1,13003,141037,573440,6219732,141037,6219734
163,Cus155_ProjectMLauncher,1,-1,400,-1,-1,-1,-1,-1,17920,99374,573440,3179984,99374,3179986
164,Cus156_RevivedPower,1,-1,400,-1,-1,-1,-1,-1,10402,133760,458752,5898819,133760,5898822
165,Cus157_DraculaCastle,1,-1,400,-1,-1,-1,-1,-1,22105,105518,974848,4653367,105518,4653369
166,Cus158_NSMBWGhost,1,-1,400,-1,-1,-1,-1,-1,41216,94016,1318912,3008539,94016,3008541
167,Cus159_Saturos,1,-1,400,-1,-1,-1,-1,-1,1625,87492,71680,3858429,87492,3858432
168,Cus160_SolSanctum,1,-1,400,-1,-1,-1,-1,-1,1625,70174,71680,3094685,70174,3094686
169,Cus161_YoshiSong,1,-1,400,-1,-1,-1,-1,-1,9102,85068,401408,3751516,85068,3751518
170,Cus162_LoveInTheAir,1,-1,400,-1,-1,-1,-1,-1,10077,68187,444416,3007061,68187,3007064
171,Cus163_YoshiStoryTheme,1,-1,400,-1,-1,-1,-1,-1,7476,36532,329728,1611071,36532,1611073
172,Cus164_SuperAbility,1,-1,400,-1,-1,-1,-1,-1,11200,59058,358400,1889863,59058,1889866
173,Cus165_DragRace,1,-1,400,-1,-1,-1,-1,-1,11200,59058,358400,1889863,59058,1889866
174,Cus166_WingsOfSorrow,1,-1,400,-1,-1,-1,-1,-1,11377,81687,501760,3602430,81687,3602432
175,Cus167_TillFate,1,-1,400,-1,-1,-1,-1,-1,17229,77229,759808,3405821,77229,3405824
176,Cus168_InvincibleBlade,1,-1,400,-1,-1,-1,-1,-1,10402,82406,458752,3634119,82406,3634122
177,Cus169_SwordResolution,1,-1,400,-1,-1,-1,-1,-1,9557,83039,458752,3985918,83040,3985920
178,Cus170_Regalia,1,-1,400,-1,-1,-1,-1,-1,10402,80712,458752,3559422,80712,3559424
179,Cus171_HighSpiritTiger,1,-1,400,-1,-1,-1,-1,-1,10402,81618,458752,3599357,81618,3599360
180,Cus172_SoulBurn,1,-1,400,-1,-1,-1,-1,-1,11052,81269,487424,3583999,81269,3584000
181,Cus173_Meteo,1,-1,400,-1,-1,-1,-1,-1,5201,50756,229376,2238341,50756,2238343
182,Cus174_SFZCorneria,1,-1,400,-1,-1,-1,-1,-1,12096,84980,387072,2719389,84981,2719392
183,Cus175_SFZStarWolf,1,-1,400,-1,-1,-1,-1,-1,17024,99536,544768,3185181,99537,3185184
184,Cus176_SFZStarfox,1,-1,400,-1,-1,-1,-1,-1,56238,122986,2480128,5423712,122986,5423715
185,Cus177_SFZAlpha,1,-1,400,-1,-1,-1,-1,-1,7616,81938,243712,2622045,81939,2622048
186,Cus179_MeleeBattlefield,1,-1,400,-1,-1,-1,-1,-1,10752,85995,344064,2751847,85995,2751849
187,Cus178_SFZOmega,1,-1,400,-1,-1,-1,-1,-1,6720,80155,215040,2564990,80156,2564992
188,Cus180_Fourside,1,-1,400,-1,-1,-1,-1,-1,12544,118232,401408,3783432,118232,3783435
190,Cus182_ReturnOfPalutena,1,-1,400,-1,-1,-1,-1,-1,5201,43963,229376,1938787,43963,1938789
191,Cus183_KIUprisingTheme,1,-1,400,-1,-1,-1,-1,-1,8064,123081,387072,5907922,123081,5907924
192,Cus184_GreatSeaHD,1,-1,400,-1,-1,-1,-1,-1,14303,151954,630784,6701176,151954,6701178
193,Cus185_GreatSea,1,-1,400,-1,-1,-1,-1,-1,13888,151307,444416,4841831,151307,4841834
194,Cus186_Windfall,1,-1,400,-1,-1,-1,-1,-1,4876,65431,215040,2885534,65431,2885536
195,Cus187_WindfallHD,1,-1,400,-1,-1,-1,-1,-1,4551,65076,200704,2869854,65076,2869856
196,Cus188_PirateShip,1,-1,400,-1,-1,-1,-1,-1,3584,82796,114688,2649494,82796,2649496
197,Cus189_HalmoricKing,1,-1,400,-1,-1,-1,-1,-1,68266,135526,3010560,5976725,135526,5976726
198,Cus190_WindWakerMiniBoss,1,-1,400,-1,-1,-1,-1,-1,0,61814,0,2726020,61814,2726022
199,Cus191_PokemonXYElite4,1,-1,400,-1,-1,-1,-1,-1,29907,157899,1318912,6963349,157899,6963352
200,Cus192_PokemonXYGym,1,-1,400,-1,-1,-1,-1,-1,47136,149561,2078720,6595651,149561,6595654
201,Cus193_PokemonXYMegaEvoBattle,1,-1,400,-1,-1,-1,-1,-1,39659,129270,1748992,5700813,129270,5700814
202,Cus194_PokemonXYLegendary,1,-1,400,-1,-1,-1,-1,-1,45836,108097,2021376,4767097,108097,4767100
203,Cus195_PokemonXYRoute15,1,-1,400,-1,-1,-1,-1,-1,17879,63613,788480,2805354,63613,2805356
204,Cus196_PokemonXYBattleFriend,1,-1,400,-1,-1,-1,-1,-1,7801,58633,344064,2585752,58633,2585754
205,Cus197_DucktalesTitle,1,-1,400,-1,-1,-1,-1,-1,12027,64787,530432,2857135,64787,2857138
206,Cus198_NESRemixTitle,1,-1,400,-1,-1,-1,-1,-1,11052,123065,487424,5427180,123065,5427182
207,Cus199_HappyHomeDesignerTheme,1,-1,400,-1,-1,-1,-1,-1,4480,77818,143360,2490193,77818,2490196
208,Cus200_KKHouse,1,-1,400,-1,-1,-1,-1,-1,15278,140151,673792,6180670,140151,6180672
209,Cus201_KKDisco,1,-1,400,-1,-1,-1,-1,-1,975,41637,43008,1836225,41637,1836226
210,Cus202_WiiSportsClubProfile,1,-1,400,-1,-1,-1,-1,-1,1194,30729,57344,1474997,30729,1474998
211,Cus203_MarioSportsMixStadium,1,-1,400,-1,-1,-1,-1,-1,10304,134919,329728,4317412,134919,4317414
212,Cus204_SurfCity,1,-1,400,-1,-1,-1,-1,-1,0,58625,0,1876013,58625,1876014
213,Cus205_DDRWario,1,-1,400,-1,-1,-1,-1,-1,4226,95655,186368,4218424,95655,4218425
214,Cus206_MagmaRock,1,-1,400,-1,-1,-1,-1,-1,62415,125530,2752512,5535877,125530,5535879
215,Cus207_FlyMeToTheMoon,1,-1,400,-1,-1,-1,-1,-1,17322,160301,831488,7694495,160302,7694497
216,Cus208_MoonRiver,1,-1,400,-1,-1,-1,-1,-1,7151,169364,315392,7468983,169364,7468985
217,Cus209_TomorrowIsMine,1,-1,400,-1,-1,-1,-1,-1,4226,85355,186368,3764195,85355,3764198
218,Cus210_MegamanEXEBattle,1,-1,400,-1,-1,-1,-1,-1,650,54378,28672,2398074,54378,2398075
219,Cus211_MegamanEXE4Battle,1,-1,400,-1,-1,-1,-1,-1,6826,31456,301056,1387225,31456,1387227
220,Cus212_MegamanNetworkTransmissionArea,1,-1,400,-1,-1,-1,-1,-1,6826,99782,301056,4400409,99782,4400410
221,Cus213_MegamanNetworkTransBoss,1,-1,400,-1,-1,-1,-1,-1,6826,55444,301056,2445109,55444,2445111
222,Cus214_MegamanNetworkTransBlazing,1,-1,400,-1,-1,-1,-1,-1,1792,48625,57344,1556019,48625,1556022
223,Cus215_MvC3Zero,1,-1,400,-1,-1,-1,-1,-1,5973,80259,286720,3852467,80259,3852470
224,Cus216_MvC3TronBonne,1,-1,400,-1,-1,-1,-1,-1,298,69815,14336,3351121,69815,3351123
225,Cus217_SAWindyValley,1,-1,400,-1,-1,-1,-1,-1,5526,87818,243712,3872798,87818,3872800
226,Cus218_SAEmeraldCoast,1,-1,400,-1,-1,-1,-1,-1,28932,117174,1275904,5167380,117174,5167382
227,Cus219_SA2GreenForest,1,-1,400,-1,-1,-1,-1,-1,15232,141479,487424,4527341,141479,4527343
228,Cus220_SFRFree,1,-1,400,-1,-1,-1,-1,-1,9557,246359,458752,11825277,246359,11825279
229,Cus221_MSFLoveLove,1,-1,400,-1,-1,-1,-1,-1,14628,156446,645120,6899283,156446,6899286
230,Cus222_MSFCaught,1,-1,400,-1,-1,-1,-1,-1,19179,198239,845824,8742379,198239,8742381
231,Cus223_MSFTitle,1,-1,400,-1,-1,-1,-1,-1,14953,71848,659456,3168515,71848,3168517
232,Cus225_MSF2Title,1,-1,400,-1,-1,-1,-1,-1,17879,106488,788480,4696160,106488,4696161
233,Cus224_MSFJiveBot,1,-1,400,-1,-1,-1,-1,-1,30882,207131,1361920,9134482,207131,9134485
234,Cus226_MSF2Got2B,1,-1,400,-1,-1,-1,-1,-1,14628,191859,645120,8461004,191859,8461006
235,Cus227_MSF2SoftCollision,1,-1,400,-1,-1,-1,-1,-1,87446,174064,3856384,7676228,174064,7676229
236,Cus228_Halo4LastMan,1,-1,400,-1,-1,-1,-1,-1,1194,80215,57344,3850342,80215,3850344
237,Cus229_SonicBoom,1,-1,400,-1,-1,-1,-1,-1,6826,88818,301056,3916908,88818,3916911
238,Cus230_ViewtifulTheme,1,-1,400,-1,-1,-1,-1,-1,39424,80566,1261568,2578138,80566,2578140
239,Cus231_CaptainBlueTheme,1,-1,400,-1,-1,-1,-1,-1,7168,111739,229376,3575669,111739,3575672
